Date,Close,High,Low,Open,Volume,EMA_10,EMA_50,RSI,ATR,MACD,MACD_Signal,MACD_Hist,Price_to_EMA10,Price_to_EMA50
2020-01-02,1524.5,1528.699951171875,1518.0,1518.0999755859375,214,1524.5,1524.5,,,0.0,0.0,0.0,0.0,0.0
2020-01-03,1549.199951171875,1552.699951171875,1530.0999755859375,1530.0999755859375,107,1528.990900213068,1525.468625536152,,,1.9703664752491932,0.3940732950498387,1.5762931801993545,1.3217247372754677,1.5556744490488696
2020-01-06,1566.199951171875,1580.0,1560.4000244140625,1580.0,416,1535.7561822055784,1527.0659324238275,,,4.8477719304985385,1.2848130221395788,3.5629589083589597,1.982330875111617,2.562693457900162
2020-01-07,1571.800048828125,1576.300048828125,1558.300048828125,1558.300048828125,47,1542.3096125005868,1528.8202114985058,,,7.493635596727927,2.526577537057249,4.967058059670678,1.912095735416223,2.8113075040714928
2020-01-08,1557.4000244140625,1604.199951171875,1552.300048828125,1579.699951171875,236,1545.0533237575821,1529.9409884755867,,,8.332488252661278,3.687759680178055,4.644728572483223,0.7991116207208373,1.7947774551641802
2020-01-09,1551.699951171875,1555.699951171875,1543.300048828125,1555.699951171875,54,1546.2618014692716,1530.794281130343,,,8.440045166022173,4.638216777346879,3.801828388675294,0.35169656894039486,1.365674689227029
2020-01-10,1557.5,1558.800048828125,1545.4000244140625,1551.199951171875,16,1548.3051102930403,1531.8415642232708,,,8.890812509890111,5.4887359238555256,3.4020765860345854,0.5938680719861077,1.6750058476014444
2020-01-13,1548.4000244140625,1558.0,1548.4000244140625,1557.4000244140625,48,1548.3223674059534,1532.4909156033018,,,8.416734028744258,6.074335544833272,2.342398483910986,0.005015558112694929,1.03812092122567
2020-01-14,1542.4000244140625,1546.699951171875,1534.9000244140625,1546.699951171875,32,1547.2455777710643,1532.8795081056846,,,7.470755343758583,6.353619504618335,1.1171358391402482,-0.31317286839379516,0.6210870624882455
2020-01-15,1552.0999755859375,1553.9000244140625,1545.5999755859375,1548.0,11,1548.1281955555864,1533.6332519284397,,,7.418252418021439,6.566546087298956,0.8517063307224824,0.25655369120938193,1.204116018890251
2020-01-16,1549.0,1556.0999755859375,1548.5,1555.699951171875,98,1548.2867054545704,1534.2358694998734,,,7.045287658317875,6.6622944015027405,0.3829932568151344,0.04606992638486436,0.9623116493123961
2020-01-17,1558.800048828125,1558.800048828125,1553.5999755859375,1554.0999755859375,108,1550.1982224315802,1535.199170650001,,,7.454560899445369,6.820747701091267,0.633813198354102,0.5548855799261774,1.5373170223985644
2020-01-21,1556.4000244140625,1566.199951171875,1551.0,1559.300048828125,45,1551.3258227920314,1536.030576679964,,,7.49880937271746,6.956360035416506,0.5424493373009538,0.3270880654135356,1.326109521733986
2020-01-22,1555.300048828125,1557.0999755859375,1549.800048828125,1549.800048828125,42,1552.0484093440482,1536.7862422544017,63.46154256556469,17.257123674665177,7.360273122725403,7.037142652878286,0.3231304698471167,0.20950631852076476,1.2047092864759317
